Timestamp,What programming languages do you have experience in?,How many years have you been programming?
5/24/2023 9:15:40,"SQL, C, C++, R, Perl, Fortran, Pascal",> 20
5/24/2023 9:15:58,"Python, Java, JavaScript, TypeScript, PHP, Objective-C, Visual Basic, Kotlin",15 - 20
5/24/2023 9:16:28,"Python, SQL, R, Visual Basic",1 - 5
5/24/2023 9:16:59,"Python, Java, JavaScript, TypeScript, SQL, Ruby, Assembly, Kotlin, Clojure",> 20
5/24/2023 9:29:19,"Python, JavaScript, PHP, SQL, Visual Basic, Fortran, Delphi, Pascal",> 20
5/24/2023 9:31:08,"Python, JavaScript, SQL, Go, Perl",1 - 5
5/24/2023 9:31:14,"Python, SQL",15 - 20
5/24/2023 9:31:28,"Python, Java, JavaScript, SQL, C, Perl, Cobol",> 20
5/24/2023 9:31:30,"Python, JavaScript, SQL, Visual Basic",1 - 5
5/24/2023 9:31:38,"Python, Swift",< 1
5/24/2023 9:31:40,"Python, SQL, Visual Basic, Cobol, Clojure",1 - 5
5/24/2023 9:32:22,"Python, Java, JavaScript, SQL, C, C++, Swift, Lisp, Assembly, Dart, Lua, Haskell, Julia, Clojure, Elixir, Pascal",> 20
5/24/2023 11:10:24,"Java, JavaScript, SQL",1 - 5
5/25/2023 4:23:33,"C, C++",5 - 10
7/24/2023 3:10:35,"Python, Java, C, C++, Delphi, Pascal",< 1
7/24/2023 11:12:29,"Python, Java, JavaScript, PHP, SQL, C++, C#, Visual Basic",> 20
7/24/2023 18:25:47,"Python, C",1 - 5
7/25/2023 7:17:33,"Python, Java, JavaScript, SQL, C, C++, Perl, Assembly, Pascal",1 - 5
7/25/2023 7:18:55,"Python, Java, SQL, Perl",1 - 5
7/25/2023 8:47:51,"Python, PHP, SQL, C, C++, Go, Visual Basic, Perl, Fortran, Assembly, Pascal",> 20
7/25/2023 9:02:39,"Python, C, Objective-C, Visual Basic, Perl, Assembly",> 20
7/25/2023 9:24:22,"Python, Java, JavaScript, TypeScript, SQL, C, Assembly, Delphi, Pascal",15 - 20
7/25/2023 9:24:36,"Python, Java, PHP, SQL",1 - 5
7/25/2023 9:24:37,"Python, Java, JavaScript, SQL",1 - 5
7/25/2023 9:24:42,"Python, SQL, Go",5 - 10
7/25/2023 9:24:45,"Python, Java, JavaScript, TypeScript, SQL, C, C++, Fortran",> 20
7/25/2023 9:24:50,"Python, Matlab",15 - 20
7/25/2023 9:24:55,"Python, Java, JavaScript, SQL",1 - 5
7/25/2023 9:25:07,"Python, Java, JavaScript, SQL, C, C++, Perl, Assembly, Pascal",1 - 5
7/25/2023 9:26:01,Python,1 - 5
7/25/2023 9:26:09,"Python, SQL, Cobol",5 - 10
7/25/2023 9:26:37,"Python, JavaScript",5 - 10
7/25/2023 9:26:54,"Python, Java, C, C++, C#, Perl, Delphi, Pascal",10 - 15
7/25/2023 9:27:04,"Python, JavaScript, SQL",1 - 5
7/25/2023 9:27:17,"Python, PHP, SQL, C, C++, Go, Visual Basic, Perl, Fortran, Assembly, Pascal",> 20
7/25/2023 9:29:52,Python,< 1
7/25/2023 10:12:17,"Java, SQL, Swift",1 - 5
7/25/2023 10:47:42,Java,15 - 20
7/25/2023 10:48:04,"Python, JavaScript, C#",5 - 10
7/25/2023 10:48:24,"Python, JavaScript, PHP, Ruby, Perl",15 - 20
7/25/2023 12:25:38,Python,
